recv_wall_ns,send_wall_ns,delay_ms,sim_s,seq,veh,edge,x,y,speed,bytes
1761732231615844000,1761732231614095000,1.749,33.000,102,veh2,215189962,1071.830,692.460,12.820,407
1761732231615844000,1761732231614672000,1.172,33.000,103,veh3,215210648#0,3040.770,1279.510,13.630,407
1761732231615844000,1761732231615025000,0.819,33.000,104,veh5,823695811#8,2357.260,1246.900,7.720,407
1761732231615844000,1761732231615366000,0.478,33.000,105,veh6,:1318414078_1,1585.540,1386.610,9.280,407
1761732231615844000,1761732231615731000,0.113,33.000,106,veh7,1239033319,1554.410,822.160,10.230,407
1761732231636229000,1761732231634876000,1.353,34.000,107,veh1,215198324#2,2615.930,917.520,14.550,409
1761732231636229000,1761732231635130000,1.099,34.000,108,veh2,215189962,1072.910,680.740,11.770,409
1761732231636229000,1761732231635383000,0.846,34.000,109,veh3,:2155676150_0,3039.680,1265.610,13.940,409
1761732231636229000,1761732231635633000,0.596,34.000,110,veh5,823695811#8,2348.260,1249.430,9.360,409
1761732231636229000,1761732231635888000,0.341,34.000,111,veh6,:1318414075_1,1583.680,1395.260,8.840,409
1761732231636229000,1761732231636157000,0.072,34.000,112,veh7,1239033319,1552.290,811.160,11.200,409
1761732231657787000,1761732231655995000,1.792,35.000,113,veh1,215198324#2,2603.570,923.320,13.700,410
1761732231657787000,1761732231656554000,1.233,35.000,114,veh2,215189962,1074.070,668.110,12.680,410
1761732231657787000,1761732231656858000,0.929,35.000,115,veh3,215210648#1,3038.490,1252.660,13.010,410
1761732231657787000,1761732231657157000,0.630,35.000,116,veh5,:11032161609_1,2338.100,1252.680,10.670,410
1761732231657787000,1761732231657414000,0.373,35.000,117,veh6,117032949#8,1584.760,1406.180,11.040,410
1761732231657787000,1761732231657697000,0.090,35.000,118,veh7,1239033319,1550.170,800.140,11.220,410
1761732231678150000,1761732231676813000,1.337,36.000,119,veh1,215198324#2,2595.280,927.760,9.400,406
1761732231678150000,1761732231677074000,1.076,36.000,120,veh2,215189962,1075.150,656.410,11.750,406
1761732231678150000,1761732231677325000,0.825,36.000,121,veh3,215210648#1,3037.370,1241.950,10.760,406
1761732231678150000,1761732231677556000,0.594,36.000,122,veh5,823695811#9,2325.120,1255.020,13.190,406
1761732231678150000,1761732231677806000,0.344,36.000,123,veh6,117032949#8,1590.070,1416.020,11.250,406
1761732231678150000,1761732231678064000,0.086,36.000,124,veh7,1239033319,1547.810,789.270,11.120,406
1761732231699823000,1761732231698190000,1.633,37.000,125,veh1,:2246072607_1,2590.950,930.310,5.040,411
1761732231699823000,1761732231698466000,1.357,37.000,126,veh2,215189962,1076.260,644.390,12.070,411
1761732231699823000,1761732231698752000,1.071,37.000,127,veh3,215210648#1,3036.640,1234.960,7.030,411
